Energy_(eV)	counts
9635.207308	0.000240053
9635.455074	0.000267714
9635.702841	0.000275784
9635.95061	0.000285001
9636.19838	0.000253886
9636.446152	0.000276931
9636.693926	0.000249276
9636.941701	0.000251583
9637.189478	0.000252733
9637.437257	0.000256195
9637.685037	0.000238903
9637.932819	0.000184733
9638.180603	0.000208934
9638.428388	0.000213546
9638.676175	0.000244672
9638.923963	0.000252733
9639.171753	0.000217005
9639.419545	0.000230833
9639.667338	0.000236589
9639.915133	0.000241206
9640.162929	0.000257345
9640.410727	0.00022507
9640.658527	0.000200865
9640.906328	0.000258494
9641.154131	0.000222769
9641.401935	0.000240056
9641.649741	0.000212397
9641.897549	0.0002608
9642.145358	0.000235443
9642.393169	0.000268868
9642.640981	0.00026541
9642.888794	0.000279242
9643.13661	0.00025965
9643.384426	0.000281541
9643.632245	0.00027578
9643.880065	0.000242361
9644.127886	0.00027809
9644.375709	0.000263101
9644.623534	0.000291919
9644.87136	0.00025388
9645.119187	0.000314969
